"Creditcard (Heidelpay)","Kreditkarte (Heidelpay)"
"Dear {NAME}, you used the following creditcard on your last visit. Do you want to re-use it?","Sehr geehrter Herr {NAME}, beim letzten Besuch haben Sie folgende Kreditkarte verwendet, m&ouml;chten Sie diese wieder verwenden?"
"Yes, I want to re-use my creditcard.","Ja, Ich m&ouml;chte meine Kreditkarte erneut benutzen."
"Re-use last creditcard.","Letzte Kreditkarte nutzen."

"Debitcard (Heidelpay)","Debitkarte (Heidelpay)"
"Dear {NAME}, you used the following debitcard on your last visit. Do you want to re-use it?","Sehr geehrter Herr {NAME}, beim letzten Besuch haben Sie folgende Debitkarte verwendet, m&ouml;chten Sie diese wieder verwenden?"
"Yes, I want to re-use my debitcard.","Ja, Ich m&ouml;chte meine Debitkarte erneut benutzen."
"Re-use last debitcard.","Letzte Debitkarte nutzen."

"Creditcard X (Heidelpay)","Kreditkarte X (Heidelpay)"
"Dear {NAME}, you used the following creditcard X on your last visit. Do you want to re-use it?","Sehr geehrter Herr {NAME}, beim letzten Besuch haben Sie folgende Kreditkarte X verwendet, m&ouml;chten Sie diese wieder verwenden?"
"Yes, I want to re-use my creditcard X.","Ja, Ich m&ouml;chte meine Kreditkarte X erneut benutzen."
"Re-use last creditcard X.","Letzte Kreditkarte X nutzen."

"Your order has been received.","Ihre Bestellung ist eingegangen."
"Please enter additional payment information.","Geben Sie weitere Zahlungsinformationen ein."

"Direct Booking","Sofortbuchung"
"Preauthorisation","Reservierung"
"Direct Data Input","Direkteingabe der Kontodaten"
"Account Data from last Giropay Booking","Kontodaten von letzter Zahlung mit Giropay"
"Account Data from last Sofort Banking Booking","Kontodaten von letzter Zahlung mit Sofortueberweisung"
"Account Data from last Sofort Banking or Giropay Booking","Kontodaten von letzter Zahlung mit Giropay oder Sofortueberweisung"
"Direct with registration","Direkt mit Registrierung"
"After without registration","Nachgelagert ohne Registrierung"

"Credit Card","Kreditkarte"
"Credit Card X","Kreditkarte X"
"Debit Card","Debitkarte"
"Debitcard","Debitkarte"
"Direct Debit","Lastschrift"
"SOFORT &Üuml;berweisung","SOFORT &Üuml;berweisung"
"Giropay","Giropay"
"Pay Pal","Pay Pal"
"EPS","EPS"
"iDeal","iDeal"
"Prepayment","Vorkasse"
"Invoice","Rechnung"
"Mangirkart","MangirKart"
"BillSafe","Kauf auf Rechnung"
"Barpay","BarPay"

"Heidelpay Credit Card","Heidelpay Kreditkarte"
"Heidelpay Credit Card X","Heidelpay Kreditkarte X"
"Heidelpay Debit Card","Heidelpay Debitkarte"
"Heidelpay Debitcard","Heidelpay Debitkarte"
"Heidelpay Direct Debit","Heidelpay Lastschrift"
"Heidelpay SOFORT Überweisung","Heidelpay SOFORT Überweisung"
"Heidelpay Giropay","Heidelpay Giropay"
"Heidelpay Pay Pal","Heidelpay Pay Pal"
"Heidelpay EPS","Heidelpay EPS"
"Heidelpay iDeal","Heidelpay iDeal"
"Heidelpay Prepayment","Heidelpay Vorkasse"
"Heidelpay Invoice","Heidelpay Rechnung"
"Heidelpay Mangirkart","Heidelpay MangirKart"
"Heidelpay Billsafe","Heidelpay BillSAFE"
"Heidelpay Barpay","Heidelpay BarPay"

"DescCreditCard","Sicher zahlen mit Kreditkarte<br><br>"
"DescCreditCardX","Sicher zahlen mit Kreditkarte X<br><br>"
"DescDebitCard","Sicher zahlen mit Debitkarte<br><br>"
"DescDirectDebit","Sicher zahlen mit Lastschrift<br><br>"
"DescEPS","Sicher zahlen mit EPS"
"DescGiropay","Sicher zahlen mit Giropay"
"DescIdeal","Sicher zahlen mit iDeal"
"DescPayPal","Sicher zahlen mit PayPal"
"DescPrepaid","Sicher zahlen mit Vorkasse"
"DescDirectEBanking","Sicher zahlen mit Sofort&uuml;berweisung"
